editTopo.py edits file version 1
#
# This file can be used as an argument for editTopo.py --apply
#
# created: Sun Sep  6 11:41:01 2020
# by: aek156
# via: ./topogtools/editTopo.py --ref /g/data/ik11/inputs/access-om2/input_20200530/mom_025deg/topog.nc topog_new_deseas_partialcell_mindepth_masked_fixnonadvective.nc
#
# These edits fill in the enclosed Sulu Sea basin up to the sill depth of 503m, by copying data from previous topography
# /g/data/ik11/inputs/access-om2/input_20200530/mom_025deg/topog.nc
# see https://github.com/COSIMA/access-om2/issues/158#issuecomment-698758041
#
# There are additional edits below in the Denmark Strait, Faroe Bank channel, Nares Strait and Caribbean Sea
# - search for "created" to find these.
#
#   i    j  old                 new
  153  533  1052.914306640625   503.0520935058594
  153  532  1098.2969970703125  503.0520935058594
  153  531  913.4954223632812   503.0520935058594
  154  533  1797.5401611328125  503.0520935058594
  154  532  1938.66455078125    503.0520935058594
  154  531  1488.27587890625    503.0520935058594
  154  530  1049.2911376953125  503.0520935058594
  154  528  1082.5533447265625  503.0520935058594
  154  527  1247.3297119140625  503.0520935058594
  154  526  1247.3297119140625  503.0520935058594
  154  529  726.529052734375    503.0520935058594
  154  525  708.8665771484375   503.0520935058594
  155  536  617.7627563476562   503.0520935058594
  155  535  1128.103515625      503.0520935058594
  155  534  1466.5723876953125  503.0520935058594
  155  533  2046.5689697265625  503.0520935058594
  155  532  2102.65673828125    503.0520935058594
  155  531  1797.5401611328125  503.0520935058594
  155  530  1474.9910888671875  503.0520935058594
  155  529  2087.53662109375    503.0520935058594
  155  528  2243.54345703125    503.0520935058594
  155  527  2389.4677734375     503.0520935058594
  155  526  2526.098876953125   503.0520935058594
  155  525  2329.322265625      503.0520935058594
  155  524  1579.2425537109375  503.0520935058594
  156  523  1069.4471435546875  503.0520935058594
  156  522  617.5133666992188   503.0520935058594
  157  537  652.7455444335938   503.0520935058594
  156  536  1321.39306640625    503.0520935058594
  157  536  1948.4039306640625  503.0520935058594
  159  533  712.1177978515625   167.74903869628906
  159  534  647.4429931640625   318.8463439941406
  158  537  882.4822387695312   503.0520935058594
  166  540  797.4505615234375   503.0520935058594
  167  540  776.2684326171875   503.0520935058594
  168  539  961.63916015625     503.0520935058594
  168  538  2110.86328125       503.0520935058594
  168  537  2448.763427734375   503.0520935058594
  168  536  3122.916015625      503.0520935058594
  169  536  1279.462646484375   503.0520935058594
  169  535  2385.573486328125   503.0520935058594
  170  535  777.17138671875     503.0520935058594
  171  534  1086.5447998046875  503.0520935058594
  171  533  1759.82421875       503.0520935058594
  171  532  1623.320068359375   503.0520935058594
  171  531  935.7899780273438   503.0520935058594
  170  531  2315.6552734375     503.0520935058594
  169  531  2501.735595703125   503.0520935058594
  168  531  3482.541259765625   503.0520935058594
